education precision recall fbeta
x1_10th 0.25925925925925924 0.9333333333333333 0.40579710144927533
x1_11th 0.12244897959183673 0.5454545454545454 0.2
x1_12th 0.125 0.75 0.21428571428571427
x1_1st-4th 0.125 1.0 0.2222222222222222
x1_5th-6th 0.041666666666666664 1.0 0.07999999999999999
x1_7th-8th 0.06779661016949153 1.0 0.12698412698412698
x1_9th 0.13333333333333333 0.8571428571428571 0.23076923076923078
x1_Assoc-acdm 0.4673913043478261 0.86 0.6056338028169014
x1_Assoc-voc 0.49606299212598426 0.9130434782608695 0.6428571428571428
x1_Bachelors 0.6683417085427136 0.8769230769230769 0.7585551330798479
x1_Doctorate 0.8589743589743589 0.8271604938271605 0.8427672955974842
x1_HS-grad 0.33260153677277715 0.8782608695652174 0.4824840764331211
x1_Masters 0.8083333333333333 0.9282296650717703 0.8641425389755012
x1_Preschool 0.0 1.0 0.0
x1_Prof-school 0.7866666666666666 0.8939393939393939 0.8368794326241135
x1_Some-college 0.43807763401109057 0.8876404494382022 0.5866336633663366
